text,label
"coffee shop building",small building
"corner store building",small building
"dentist office building",small building
"two story house",small building
"bank branch building",small building
"mini mart building",small building
"one story clinic",small building
"row house",small building
"office above a store",small building
"five floor apartment building",small building
"glass office tower",skyscraper
"tall building downtown",skyscraper
"high rise apartments",skyscraper
"skyscraper under construction",skyscraper
"big tower in the skyline",skyscraper
"tech company tower",skyscraper
"tower with antenna on top",skyscraper
"hotel and office tower",skyscraper
"old high rise from the seventies",skyscraper
"tallest building in the district",skyscraper
"highway bridge over water",big bridge
"suspension bridge",big bridge
"six lane bridge",big bridge
"train bridge",big bridge
"bridge between two cities",big bridge
"bridge for trucks",big bridge
"arch bridge",big bridge
"bridge over the shipping lane",big bridge
"stone bridge",big bridge
"long bridge over the bay",big bridge
"oak tree",tree
"maple tree",tree
"pine tree",tree
"old tree",tree
"tree in the park",tree
"apple tree in the yard",tree
"tree on the sidewalk",tree
"tree by the fence",tree
"dead tree",tree
"young tree",tree
"creek",river
"stream",river
"urban canal",river
"drainage ditch with water",river
"brook between fields",river
"almost dry stream",river
"poured concrete channel with water",river
"side branch of a river",river
"irrigation ditch",river
"water running through the park",river
"street light on a pole",street light
"LED street light",street light
"sodium street light",street light
"solar street light",street light
"the street light does not work",street light
"new street lights with sensors",street light
"lights at the intersection",street light
"alley street light",street light
"highway ramp light",street light
"downtown street lights",street light
"quiet side street",street
"one way street",street
"steep hill street",street
"dead end street",street
"brick street",street
"wide street with bike lane",street
"warehouse street",street
"main street with stores",street
"cross street",street
"no cars street",street
"dog park",park
"playground park",park
"city park with paths",park
"skating park with ramps",park
"trail park entrance",park
"tiny park between buildings",park
"park with a pond",park
"soccer field park",park
"roof park",park
"community park on a lot",park
